file_id,2_instruct-pix2pix|ssim_unedit_part,2_instruct-pix2pix|lpips_unedit_part,2_instruct-pix2pix|clip_similarity_target_image
000000000125,0.8134059309959412,0.06868790090084076,26.632387161254883
000000000126,nan,nan,17.98518943786621
000000000127,0.7584527730941772,0.16611213982105255,13.394954681396484
000000000128,nan,nan,30.45577621459961
000000000129,0.769991397857666,0.20232713222503662,25.639537811279297
000000000130,0.7220333814620972,0.36628037691116333,18.175525665283203
000000000131,0.7811765670776367,0.05303756520152092,27.492219924926758
000000000132,0.8010079264640808,0.04969640076160431,25.85279083251953
000000000133,0.7657172083854675,0.24479365348815918,25.143741607666016
000000000134,0.9283088445663452,0.0656495913863182,28.36389923095703
000000000135,0.8637888431549072,0.05607673525810242,23.01802635192871
000000000136,0.9437999129295349,0.03639550507068634,20.397052764892578
000000000137,nan,nan,22.58803939819336
000000000138,0.7153809070587158,0.12747395038604736,25.696229934692383
000000000139,0.6063752174377441,0.21835599839687347,30.017805099487305
111000000000,0.7199478149414062,0.16211140155792236,23.494260787963867
111000000001,0.9057437181472778,0.10709673911333084,20.00865936279297
111000000002,0.7335351705551147,0.25650423765182495,24.3409423828125
111000000003,0.9219934344291687,0.03430475667119026,24.752521514892578
111000000004,0.5435715913772583,0.2543216943740845,16.851394653320312
111000000005,0.7899584770202637,0.06615407764911652,27.288728713989258
111000000006,0.8670963048934937,0.07956275343894958,23.819839477539062
111000000007,0.8418096899986267,0.19556543231010437,26.48366355895996
111000000008,0.9871817827224731,0.0019538188353180885,21.45296859741211
111000000009,0.8531295657157898,0.02808724343776703,20.54219627380371
112000000000,0.7188710570335388,0.14330965280532837,24.895641326904297
112000000001,0.7308547496795654,0.12685884535312653,23.66391372680664
112000000002,0.9650489091873169,0.01064213551580906,20.44937515258789
112000000003,0.905480146408081,0.10260915011167526,22.1424617767334
112000000004,0.6663521528244019,0.26850640773773193,27.7979793548584
112000000005,0.3128989338874817,0.6324926018714905,19.460254669189453
112000000006,0.35742658376693726,0.3242894411087036,15.036821365356445
112000000007,0.7806448936462402,0.04320847988128662,22.732677459716797
112000000008,0.8648669719696045,0.09215838462114334,29.162179946899414
112000000009,0.3409724235534668,0.6061362028121948,22.90045928955078
113000000000,0.5349328517913818,0.41817396879196167,17.50081443786621
113000000001,0.8968237638473511,0.2829926013946533,19.330995559692383
113000000002,0.8599872589111328,0.06850995123386383,22.117673873901367
113000000003,0.8165556192398071,0.15265525877475739,26.546239852905273
113000000004,0.3244345784187317,0.4837747812271118,22.93191909790039
113000000005,0.8164628744125366,0.26681044697761536,21.162616729736328
113000000006,0.9095203280448914,0.04745284840464592,26.294761657714844
113000000007,0.5571955442428589,0.48825812339782715,20.770889282226562
113000000008,0.6431841254234314,0.33511537313461304,22.52336883544922
113000000009,0.27450308203697205,0.35158631205558777,15.257628440856934
114000000000,0.43334242701530457,0.19021326303482056,24.740652084350586
114000000001,0.8261785507202148,0.07827281206846237,32.57963180541992
114000000002,0.8661365509033203,0.03771638497710228,23.338987350463867
114000000003,0.7954108119010925,0.03795459866523743,20.66981315612793
114000000004,0.8420488238334656,0.09632064402103424,27.362367630004883
114000000005,0.8269686698913574,0.03889115899801254,20.719491958618164
114000000006,0.6378328800201416,0.506418764591217,23.19469451904297
114000000007,0.8171800374984741,0.06593982130289078,21.879743576049805
114000000008,0.8231250643730164,0.06020873785018921,24.353933334350586
114000000009,0.5595194697380066,0.27253639698028564,28.977806091308594
